Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
rastrigin_modified,5,5,0.1,79.47382039189145,182.00143045795983,0.0,0.0030007362365722656
rastrigin_modified,5,5,0.2,73.64866049649618,172.14207353262054,1.194813890211303,0.0010001659393310547
rastrigin_modified,5,5,0.5,17.999256394454626,183.68461363524034,2.0192185911403775,0.0020008087158203125
rastrigin_modified,5,5,1.0,33.202739091862114,127.98911096573647,2.480280315571946,0.0010001659393310547
rastrigin_modified,5,5,1.5,43.60979372310186,137.8666047421159,8.898339107385151,0.002000093460083008
rastrigin_modified,5,5,2.0,39.545658885974376,86.32009488061145,4.9314736391058185,0.0010004043579101562
rastrigin_modified,5,10,0.1,41.205978655596255,132.18616562063931,15.331189265639594,0.0020003318786621094
rastrigin_modified,5,10,0.2,10.373533615467915,132.8076218211682,25.04607922232672,0.0030007362365722656
rastrigin_modified,5,10,0.5,24.939232759375535,100.18903670937335,7.403821365344784,0.002001047134399414
rastrigin_modified,5,10,1.0,25.350787276192094,176.75257055158357,28.67804430647638,0.0019998550415039062
rastrigin_modified,5,10,1.5,27.85115233300101,169.0292747717554,36.00176349004098,0.0020003318786621094
rastrigin_modified,5,10,2.0,32.79979398401483,180.20078111311085,6.02121281933616,0.002000570297241211
rastrigin_modified,5,20,0.1,1.5261162905171943,197.1006426581888,47.86458013021675,0.00400090217590332
rastrigin_modified,5,20,0.2,19.48129887924802,152.7532893011633,26.017898594240698,0.003000497817993164
rastrigin_modified,5,20,0.5,13.464889955838604,205.01943756308629,43.93362837316239,0.003000974655151367
rastrigin_modified,5,20,1.0,23.91360921078064,111.5016345491829,11.219094787643673,0.004001617431640625
rastrigin_modified,5,20,1.5,14.430734741780821,194.57306312912826,38.039787415549355,0.0029997825622558594
rastrigin_modified,5,20,2.0,7.101146135974334,196.44570602413012,34.818094932376056,0.003000497817993164
rastrigin_modified,5,50,0.1,13.664527465096318,203.24580505201004,35.97794972521603,0.008002042770385742
rastrigin_modified,5,50,0.2,10.828983850859885,203.14795306565196,38.99733889484171,0.0070018768310546875
rastrigin_modified,5,50,0.5,3.954816117586617,210.54454125476053,37.7444962634895,0.007001399993896484
rastrigin_modified,5,50,1.0,15.625574229823167,182.00076492211934,31.446301786711764,0.007001638412475586
rastrigin_modified,5,50,1.5,20.386325946657966,218.12825776007145,36.01638650702342,0.007001638412475586
rastrigin_modified,5,50,2.0,3.3876754854235998,180.987855661291,30.88511266819488,0.007001638412475586
rastrigin_modified,5,100,0.1,13.389495453186106,213.9388463986942,39.645284635846615,0.012958049774169922
rastrigin_modified,5,100,0.2,5.935828068724426,221.15013529910988,34.840359832407984,0.012002944946289062
rastrigin_modified,5,100,0.5,7.59801013190944,201.4320493295838,34.86439215067447,0.013002872467041016
