Dimension,Crossover Method,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
5,uniform_crossover,5,5,0.1,30.781125383146836,34.82712361816243,1.8785487638942036,0.0010001659393310547
5,uniform_crossover,5,5,0.2,14.694092091426295,18.02883574565513,1.3089614494736552,0.0010008811950683594
5,uniform_crossover,5,5,0.5,28.8734930447309,30.17093460234427,8.37505873611592,0.0009999275207519531
5,uniform_crossover,5,5,1.0,35.729694335757586,35.729694335757586,0.0,0.0009989738464355469
5,uniform_crossover,5,5,1.5,21.672619857668813,62.08056956214142,17.872316592742756,0.002001523971557617
5,uniform_crossover,5,5,2.0,9.620302448673197,21.003642137358618,5.5766747612103185,0.0009996891021728516
5,uniform_crossover,5,10,0.1,30.216655714109542,33.62570243535591,1.3775246998275146,0.0010013580322265625
5,uniform_crossover,5,10,0.2,3.81047749500517,14.332071248324198,2.9529195744969243,0.001999378204345703
5,uniform_crossover,5,10,0.5,19.35916042107604,45.95890364398057,8.566567006764986,0.0020012855529785156
5,uniform_crossover,5,10,1.0,17.382378389799975,29.85469754815723,4.957893218010778,0.0019996166229248047
5,uniform_crossover,5,10,1.5,16.986089030477725,38.20463807241203,6.69614332712416,0.002000093460083008
5,uniform_crossover,5,10,2.0,14.065522416895654,18.52420500934251,2.184299455304896,0.002000570297241211
5,uniform_crossover,5,20,0.1,3.2492311971198973,5.21295435601221,0.8998910019561815,0.002001523971557617
5,uniform_crossover,5,20,0.2,14.91783994109653,30.70761384969342,4.731267175538475,0.0030002593994140625
5,uniform_crossover,5,20,0.5,12.459241397401772,35.79701639775422,7.777919916073604,0.0029997825622558594
5,uniform_crossover,5,20,1.0,4.321096893041734,15.004109733875046,2.4197320602428483,0.003000497817993164
5,uniform_crossover,5,20,1.5,11.720016008262771,30.190643483209698,4.29864714010425,0.003000974655151367
5,uniform_crossover,5,20,2.0,5.7978709819337,28.815889232483144,5.985733176274448,0.004000663757324219
5,uniform_crossover,5,50,0.1,4.725524010917917,17.714265077801727,3.413149279519254,0.007001638412475586
5,uniform_crossover,5,50,0.2,7.16267348447265,22.794627406998753,3.2428719667310313,0.00800180435180664
5,uniform_crossover,5,50,0.5,5.649102449403685,27.6448236480473,4.422126313365935,0.008001565933227539
5,uniform_crossover,5,50,1.0,4.228500721162412,42.13496620395178,6.242443224006839,0.007002115249633789
5,uniform_crossover,5,50,1.5,8.795080322666871,32.29270515630333,6.557417668983495,0.008002281188964844
5,uniform_crossover,5,50,2.0,4.368136478445095,36.46698262487162,6.980188587280935,0.007001638412475586
5,uniform_crossover,5,100,0.1,3.532553664079259,17.98826637849689,3.5731359671786382,0.01400303840637207
5,uniform_crossover,5,100,0.2,0.9095654133539739,27.44975841690396,4.758866214469756,0.013003349304199219
5,uniform_crossover,5,100,0.5,3.554786452577389,32.878407831615014,5.257936940488273,0.012002229690551758
5,uniform_crossover,5,100,1.0,7.621872286652817,31.94753681970802,6.509730881537334,0.013003349304199219
5,uniform_crossover,5,100,1.5,2.9584514569104634,27.33690735250265,5.729311375311228,0.013002872467041016
5,uniform_crossover,5,100,2.0,0.04620076955317742,27.519817903534516,5.644928775286982,0.01200246810913086
5,uniform_crossover,10,5,0.1,68.50974048773466,69.12563608183218,0.30172598807344697,0.0020003318786621094
5,uniform_crossover,10,5,0.2,46.6920296328185,46.6920296328185,0.0,0.002000570297241211
5,uniform_crossover,10,5,0.5,52.25840599877325,66.2638928932232,5.61118870383695,0.0020024776458740234
5,uniform_crossover,10,5,1.0,8.696498607524822,8.696498607524822,0.0,0.0019986629486083984
5,uniform_crossover,10,5,1.5,54.299966739281345,60.85693380876694,12.388432399657715,0.0020003318786621094
5,uniform_crossover,10,5,2.0,21.72032951881812,32.81140138600544,5.4334933550292845,0.0020003318786621094
5,uniform_crossover,10,10,0.1,20.262446583273807,22.913325613692706,0.7512021801149631,0.003009796142578125
5,uniform_crossover,10,10,0.2,8.971166462319434,17.377093792524178,3.129996611403909,0.00400090217590332
5,uniform_crossover,10,10,0.5,12.963387427696157,21.13030172190298,2.436827487393966,0.0030007362365722656
5,uniform_crossover,10,10,1.0,2.008297366656418,14.584676554047247,4.650281934198163,0.0030007362365722656
5,uniform_crossover,10,10,1.5,10.859810637896103,25.03509103393338,4.235618114478968,0.0030007362365722656
5,uniform_crossover,10,10,2.0,17.775228184741458,36.175529010417065,7.517351528211555,0.003000497817993164
5,uniform_crossover,10,20,0.1,4.976888303309828,7.637464584539373,0.676160315376408,0.0049936771392822266
5,uniform_crossover,10,20,0.2,13.483654247421043,20.33304636374768,1.7393211276119132,0.004998922348022461
5,uniform_crossover,10,20,0.5,2.141168701916925,20.596558269800383,5.45176006670318,0.0050008296966552734
5,uniform_crossover,10,20,1.0,3.9852835479597886,16.76297990833191,3.118338178222573,0.006001472473144531
